SAF Forest Type Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
900  Aspen-birch,700  Elm-ash-cottonwood,160  Loblolly-shortleaf pine,800  Maple-beech-birch,500  Oak-hickory,120  Spruce-fir,100  White-red-jack pine
True,False,False,True,False,True,True
True,True,False,True,True,False,False
False,False,False,False,False,False,False
True,False,False,True,True,True,True
True,True,True,True,True,True,True
False,True,False,True,False,False,False
True,True,True,True,True,True,True
True,False,False,True,False,True,True
False,False,False,False,False,False,False
False,False,False,False,False,False,False
True,True,True,True,True,True,True
False,True,True,True,True,False,False
False,True,False,True,True,True,True
False,False,False,False,False,False,False
False,True,False,False,True,False,False
True,False,False,True,False,True,True
True,True,True,True,False,False,True
False,True,True,True,True,False,False
False,True,True,True,True,True,True
False,False,True,True,True,False,True
False,False,False,False,False,False,False
False,False,True,True,True,False,True
False,True,True,True,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
True,True,True,True,True,False,False
False,False,True,False,False,False,False
False,False,True,True,True,False,True
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,True,False,True,False,False
True,True,True,True,True,True,True
True,True,True,True,True,True,True
True,True,False,True,True,True,False
True,True,True,True,True,False,True
False,True,False,True,True,False,False
False,False,False,False,False,False,False
False,False,True,True,True,True,True
False,False,True,False,True,False,True
False,True,True,True,True,True,True
False,True,True,True,True,True,True
True,True,True,True,True,False,True
False,True,False,False,False,True,True
False,False,True,False,True,False,False
False,False,True,True,True,False,True
False,True,True,True,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,True,True,True,True,False,False
False,False,True,False,True,True,True
True,True,True,True,True,True,True
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
True,False,False,True,False,True,True
True,False,False,False,True,True,True
False,False,True,False,True,False,True
False,False,False,False,False,False,False
False,False,False,False,False,False,False
True,True,True,True,True,True,True
False,False,True,False,True,False,False
False,False,True,False,True,False,False
False,True,False,True,True,False,False
True,True,False,False,False,True,True
True,True,True,True,True,False,False
True,False,False,True,True,True,True
True,True,False,True,True,True,True
True,True,False,True,True,True,True
True,True,True,True,True,True,True
True,False,True,True,True,False,True
True,True,False,True,True,False,False
False,False,True,False,True,False,True
False,False,True,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,True,False,True,False,False
False,False,True,True,True,False,True
False,False,True,True,True,False,True
False,False,False,True,True,False,False
False,False,True,False,True,False,True
False,True,False,False,False,False,False
False,False,True,False,False,False,False
True,False,True,True,True,False,True
False,True,True,True,True,False,False
False,False,True,False,True,False,False
False,False,True,True,True,False,True
False,False,False,False,False,False,False
False,True,False,False,False,False,False
True,True,True,True,True,False,True
True,False,False,True,False,True,True
False,True,False,True,False,True,True
True,True,False,True,True,False,True
True,False,False,True,True,True,True
False,True,False,True,True,True,True
False,True,True,True,True,True,True
False,False,False,False,False,False,False
